DATE,IPG2211A2N,,,ERROR,,,,,,,,0
02-01-1993,84.5561,77.96447656,88.84721763,43.44949963,,,,,,,,
03-01-1993,79.4747,79.28280124,88.84721763,0.036825132,,,,,,,,
04-01-1993,71.0578,79.321181,88.84721763,68.28346548,,,,,,,,
05-01-1993,67.6762,77.6685048,88.84721763,99.84615515,,,,,,,,
06-01-1993,74.3297,75.67004384,88.84721763,1.796521602,,,,,,,,
07-01-1993,82.1048,75.40197507,88.84721763,44.92786204,,,,,,,,
08-01-1993,82.0605,76.74254006,88.84721763,28.28069797,,,,,,,,
09-01-1993,74.6031,77.80613204,88.84721763,10.25941428,,,,,,,,
10-01-1993,69.681,77.16552564,88.84721763,56.01812399,,,,,,,,
11-01-1993,74.4292,75.66862051,88.84721763,1.536163197,,,,,,,,
12-01-1993,84.2284,75.42073641,88.84721763,77.57493797,,,,,,,,
01-01-1994,94.1386,77.18226913,88.84721763,287.5171567,,,,,,,,
02-01-1994,87.1607,80.5735353,88.84721763,43.39073878,,,,,,,,
03-01-1994,79.2456,81.89096824,88.84721763,6.997973127,,,,,,,,
04-01-1994,70.9749,81.36189459,88.84721763,107.8896567,,,,,,,,
05-01-1994,69.3844,79.28449567,88.84721763,98.01189435,,,,,,,,
06-01-1994,77.9831,77.30447654,88.84721763,0.460529802,,,,,,,,
07-01-1994,83.277,77.44020123,88.84721763,34.06821987,,,,,,,,
08-01-1994,81.8872,78.60756098,88.84721763,10.75603207,,,,,,,,
09-01-1994,75.6826,79.26348879,88.84721763,12.82276451,,,,,,,,
10-01-1994,71.2661,78.54731103,88.84721763,53.01603407,,,,,,,,
11-01-1994,75.2458,77.09106882,88.84721763,3.405017034,,,,,,,,
12-01-1994,84.8147,76.72201506,88.84721763,65.49154955,,,,,,,,
01-01-1995,92.4532,78.34055205,88.84721763,199.1668322,,,,,,,,
02-01-1995,87.4033,81.16308164,88.84721763,38.9403252,,,,,,,,
03-01-1995,81.2661,82.41112531,88.84721763,1.311082962,,,,,,,,
04-01-1995,73.8167,82.18212025,88.84721763,69.98025593,,,,,,,,
05-01-1995,73.2682,80.5090362,88.84721763,52.42970886,,,,,,,,
06-01-1995,78.3026,79.06086896,88.84721763,0.574971814,,,,,,,,
07-01-1995,85.9841,78.90921517,88.84721763,50.0539954,,,,,,,,
08-01-1995,89.5467,80.32419213,88.84721763,85.05465134,,,,,,,,
09-01-1995,78.5035,82.16869371,88.84721763,13.43364491,,,,,,,,
10-01-1995,73.7066,81.43565497,88.84721763,59.73829066,,,,,,,,
11-01-1995,79.6543,79.88984397,88.84721763,0.055480963,,,,,,,,
12-01-1995,90.8251,79.84273518,88.84721763,120.6123371,,,,,,,,
01-01-1996,98.9732,82.03920814,88.84721763,286.7600802,,,,,,,,
02-01-1996,92.8883,85.42600651,88.84721763,55.68582407,,,,,,,,
03-01-1996,86.9356,86.91846521,88.84721763,0.000293601,,,,,,,,
04-01-1996,77.2214,86.92189217,88.84721763,94.09954832,,,,,,,,
05-01-1996,76.6826,84.98179374,88.84721763,68.87661665,,,,,,,,
06-01-1996,81.9306,83.32195499,88.84721763,1.935868703,,,,,,,,
07-01-1996,85.9606,83.04368399,88.84721763,8.508399007,,,,,,,,
08-01-1996,86.5562,83.62706719,88.84721763,8.579819005,,,,,,,,
09-01-1996,79.1919,84.21289375,88.84721763,25.21037828,,,,,,,,
10-01-1996,74.6891,83.208695,88.84721763,72.58349902,,,,,,,,
11-01-1996,81.074,81.504776,88.84721763,0.185567964,,,,,,,,
12-01-1996,90.4855,81.4186208,88.84721763,82.20829839,,,,,,,,
01-01-1997,98.4613,83.23199664,88.84721763,231.9316808,,,,,,,,
02-01-1997,89.7795,86.27785731,88.84721763,12.26150151,,,,,,,,
03-01-1997,83.0125,86.97818585,88.84721763,15.72666427,,,,,,,,
04-01-1997,76.1476,86.18504868,88.84721763,100.750376,,,,,,,,
05-01-1997,73.8471,84.17755894,88.84721763,106.718382,,,,,,,,
06-01-1997,79.7645,82.11146716,88.84721763,5.508254829,,,,,,,,
07-01-1997,88.4519,81.64207372,88.84721763,46.3737339,,,,,,,,
08-01-1997,87.7828,83.00403898,88.84721763,22.83655689,,,,,,,,
09-01-1997,81.9386,83.95979118,88.84721763,4.085213801,,,,,,,,
10-01-1997,77.5027,83.55555295,88.84721763,36.6370288,,,,,,,,
11-01-1997,82.0448,82.34498236,88.84721763,0.090109448,,,,,,,,
12-01-1997,92.101,82.28494589,88.84721763,96.35491837,,,,,,,,
01-01-1998,94.792,84.24815671,88.84721763,111.1726313,,,,,,,,
02-01-1998,87.82,86.35692537,88.84721763,2.140587382,,,,,,,,
03-01-1998,86.5549,86.64954029,88.84721763,0.008956785,,,,,,,,
04-01-1998,76.7521,86.63061223,88.84721763,97.58500398,,,,,,,,
05-01-1998,78.0303,84.65490979,88.84721763,43.88545484,,,,,,,,
06-01-1998,86.4579,83.32998783,88.84721763,9.783834541,,,,,,,,
07-01-1998,93.8379,83.95557026,88.84721763,97.66044101,,,,,,,,
08-01-1998,93.531,85.93203621,88.84721763,57.74425066,,,,,,,,
09-01-1998,87.5414,87.45182897,88.84721763,0.00802297,,,,,,,,
10-01-1998,80.0924,87.46974318,88.84721763,54.42519233,,,,,,,,
11-01-1998,81.4349,85.99427454,88.84721763,20.7878962,,,,,,,,
12-01-1998,91.6841,85.08239963,88.84721763,43.58244775,,,,,,,,
01-01-1999,102.1348,86.40273971,88.84721763,247.4977211,,,,,,,,
02-01-1999,91.1829,89.54915176,88.84721763,2.669133297,,,,,,,,
03-01-1999,90.7381,89.87590141,88.84721763,0.743386406,,,,,,,,
04-01-1999,80.5176,90.04834113,88.84721763,90.83502647,,,,,,,,
05-01-1999,79.3887,88.1421929,88.84721763,76.62363801,,,,,,,,
06-01-1999,87.8431,86.39149432,88.84721763,2.107159042,,,,,,,,
07-01-1999,97.4903,86.68181546,88.84721763,116.8233381,,,,,,,,
08-01-1999,96.4157,88.84351237,88.84721763,57.33802556,,,,,,,,
09-01-1999,87.2248,90.35794989,88.84721763,9.816628254,,,,,,,,
10-01-1999,80.6409,89.73131991,88.84721763,82.63573422,,,,,,,,
11-01-1999,82.2025,87.91323593,88.84721763,32.61250488,,,,,,,,
12-01-1999,94.5113,86.77108875,88.84721763,59.91087027,,,,,,,,
01-01-2000,102.2301,88.319131,88.84721763,193.5150586,,,,,,,,
02-01-2000,94.2989,91.1013248,88.84721763,10.22448718,,,,,,,,
03-01-2000,88.0927,91.74083984,88.84721763,13.30892427,,,,,,,,
04-01-2000,81.4425,91.01121187,88.84721763,91.56024685,,,,,,,,
